,X,Y
0,86653,86653
1,86653,86653
2,86653,86653
3,86653,86653
4,86653,86653
5,86653,86653
6,86653,86653
7,86653,86653
8,86653,86653
9,86653,86653
10,86653,86653
11,86653,86653
12,86653,86653
13,86653,86653
14,86653,86653
15,86653,86653
16,86653,86653
17,86653,86653
18,86653,86653
19,86653,86653
20,86653,86653
21,86653,86653
22,86653,86653
23,86653,86653
24,86653,86653
25,86653,86653
26,86653,86653
27,86653,86653
28,86653,86653
29,86653,86653
30,86653,86653
31,86653,86653
32,86653,86653
33,86653,86653
34,86653,86653
35,86653,86653
36,86653,86653
37,86653,86653
38,86653,86653
39,86653,86653
40,86653,86653
41,86653,86653
42,86653,86653
43,86653,86653
44,86653,86653
45,86653,86653
46,86653,86653
47,86653,86653
48,86653,86653
49,86653,86653
50,86653,86653
51,86653,86653
52,86653,86653
53,86653,86653
54,86653,86653
55,86653,86653
56,86653,86653
57,86653,86653
58,86653,86653
59,86653,86653
60,86653,86653
61,86653,86653
62,86653,86653
63,86653,86653
64,86653,86653
65,86653,86653
66,86653,86653
67,86653,86653
68,86653,86653
69,86653,86653
70,86653,86653
71,86653,86653
72,86653,86653
73,86653,86653
74,86653,86653
75,86653,86653
76,86653,86653
77,86653,86653
78,86653,86653
79,86653,86653
80,86653,86653
81,86653,86653
82,86653,86653
83,86653,86653
84,86653,86653
85,86653,86653
86,86653,86653
87,86653,86653
88,86653,86653
89,86653,86653
90,86653,86653
91,86653,86653
92,86653,86653
93,86653,86653
94,86653,86653
95,86653,86653
96,86653,86653
97,86653,86653
98,86653,86653
99,86653,86653
100,86653,86653
101,86653,86653
102,86653,86653
103,86653,86653
104,86653,86653
105,86653,86653
106,86653,86653
107,86653,86653
108,86653,86653
109,86653,86653
110,86653,86653
111,86653,86653
112,86653,86653
113,86653,86653
114,86653,86653
115,86653,86653
116,86653,86653
117,86653,86653
118,86653,86653
119,86653,86653
120,86653,86653
121,86653,86653
122,86653,86653
123,86653,86653
124,86653,86653
125,86653,86653
126,86653,86653
127,86653,86653
128,86653,86653
129,86653,86653
130,86653,86653
131,86653,86653
132,86653,86653
133,86653,86653
134,86653,86653
135,86653,86653
136,86653,86653
137,86653,86653
138,86653,86653
139,86653,86653
140,86653,86653
141,86653,86653
142,86653,86653
143,86653,86653
144,86653,86653
145,86653,86653
146,86653,86653
147,86653,86653
148,86653,86653
149,86653,86653
150,86653,86653
151,86653,86653
152,86653,86653
153,86653,86653
154,86653,86653
155,86653,86653
156,86653,86653
157,86653,86653
158,86653,86653
159,86653,86653
160,86653,86653
161,86653,86653
162,86653,86653
163,86653,86653
164,86653,86653
165,86653,86653
166,86653,86653
167,86653,86653
168,86653,86653
169,86653,86653
170,86653,86653
171,86653,86653
172,86653,86653
173,86653,86653
174,86653,86653
175,86653,86653
176,86653,86653
177,86653,86653
178,86653,86653
179,86653,86653
180,86653,86653
181,86653,86653
182,86653,86653
183,86653,86653
184,86653,86653
185,86653,86653
186,86653,86653
187,86653,86653
188,86653,86653
189,86653,86653
190,86653,86653
191,86653,86653
192,86653,86653
193,86653,86653
194,86653,86653
195,86653,86653
196,86653,86653
197,86653,86653
198,86653,86653
199,86653,86653
200,86653,86653
201,86653,86653
202,86653,86653
203,86653,86653
204,86653,86653
205,86653,86653
206,86653,86653
207,86653,86653
208,86653,86653
209,86653,86653
210,86653,86653
211,86653,86653
212,86653,86653
213,86653,86653
214,86653,86653
215,86653,86653
216,86653,86653
217,86653,86653
218,86653,86653
219,86653,86653
220,86653,86653
221,86653,86653
222,86653,86653
223,86653,86653
224,86653,86653
225,86653,86653
226,86653,86653
227,86653,86653
228,86653,86653
229,86653,86653
230,86653,86653
231,86653,86653
232,86653,86653
233,86653,86653
234,86653,86653
235,86653,86653
236,86653,86653
237,86653,86653
238,86653,86653
239,86653,86653
240,86653,86653
241,86653,86653
242,86653,86653
243,86653,86653
244,86653,86653
245,86653,86653
246,86653,86653
247,86653,86653
248,86653,86653
249,86653,86653
250,86653,86653
251,86653,86653
252,86653,86653
253,86653,86653
254,86653,86653
255,86653,86653
256,86653,86653
257,86653,86653
258,86653,86653
259,86653,86653
260,86653,86653
261,86653,86653
262,86653,86653
263,86653,86653
264,86653,86653
265,86653,86653
266,86653,86653
267,86653,86653
268,86653,86653
269,86653,86653
270,86653,86653
271,86653,86653
272,86653,86653
273,86653,86653
274,86653,86653
275,86653,86653
276,86653,86653
277,86653,86653
278,86653,86653
279,86653,86653
280,86653,86653
281,86653,86653
282,86653,86653
283,86653,86653
284,86653,86653
285,86653,86653
286,86653,86653
287,86653,86653
288,86653,86653
289,86653,86653
290,86653,86653
291,86653,86653
292,86653,86653
293,86653,86653
294,86653,86653
295,86653,86653
296,86653,86653
297,86653,86653
298,86653,86653
299,86653,86653
300,86653,86653
301,86653,86653
302,86653,86653
303,86653,86653
304,86653,86653
305,86653,86653
306,86653,86653
307,86653,86653
308,86653,86653
309,86653,86653
310,86653,86653
311,86653,86653
312,86653,86653
313,86653,86653
314,86653,86653
315,86653,86653
316,86653,86653
317,86653,86653
318,86653,86653
319,86653,86653
320,86653,86653
321,86653,86653
322,86653,86653
323,86653,86653
324,86653,86653
325,86653,86653
326,86653,86653
